Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
28/01/2025,6067.7,55.42,0.92178009,6026.97,14.69,0.244333265,6074.54,62.26,1.035547247,5994.63,-17.65,-0.293565835
27/01/2025,6012.28,-88.96,-1.458064262,5969.04,-132.2,-2.166772656,6017.17,-84.07,-1.37791662,5962.92,-138.32,-2.267080135
24/01/2025,6101.24,-17.47,-0.285517699,6121.43,2.72,0.044453815,6128.18,9.47,0.154771185,6088.74,-29.97,-0.489809126
23/01/2025,6118.71,32.34,0.531351199,6076.32,-10.05,-0.165123054,6118.73,32.36,0.531679803,6074.67,-11.7,-0.192232809
22/01/2025,6086.37,37.13,0.613796113,6081.39,32.15,0.531471722,6100.81,51.57,0.852503786,6076.13,26.89,0.44451865
21/01/2025,6049.24,52.58,0.876821431,6014.12,17.46,0.29116208,6051.51,54.85,0.914675836,6006.88,10.22,0.170428205
17/01/2025,5996.66,59.32,0.999100607,5995.4,58.06,0.977878983,6014.96,77.62,1.307319439,5978.44,41.1,0.69222918
16/01/2025,5937.34,-12.57,-0.2112637,5963.61,13.7,0.230255584,5964.69,14.78,0.248407119,5930.72,-19.19,-0.322525887
15/01/2025,5949.91,107,1.831279277,5905.21,62.3,1.066249523,5960.61,117.7,2.014407205,5905.21,62.3,1.066249523
14/01/2025,5842.91,6.69,0.114628989,5859.27,23.05,0.394947415,5871.92,35.7,0.611697297,5805.42,-30.8,-0.527738845
13/01/2025,5836.22,9.18,0.157541393,5782.02,-45.02,-0.772604959,5838.61,11.57,0.198557072,5773.31,-53.73,-0.922080507
10/01/2025,5827.04,-91.21,-1.54116504,5890.35,-27.9,-0.47142314,5890.35,-27.9,-0.47142314,5807.78,-110.47,-1.866599079
08/01/2025,5918.25,9.22,0.156032378,5910.66,1.63,0.0275849,5927.89,18.86,0.319172521,5874.78,-34.25,-0.579621359
07/01/2025,5909.03,-66.35,-1.110389632,5993.26,17.88,0.299227832,6000.68,25.3,0.423404035,5890.68,-84.7,-1.417483072
06/01/2025,5975.38,32.91,0.553810116,5982.81,40.34,0.6788423,6021.04,78.57,1.322177478,5960.01,17.54,0.295163459
03/01/2025,5942.47,73.92,1.259595641,5891.07,22.52,0.383740447,5949.34,80.79,1.376660333,5888.66,20.11,0.342674085
02/01/2025,5868.55,-13.08,-0.222387331,5903.26,21.63,0.367755197,5935.09,53.46,0.908931708,5829.53,-52.1,-0.885808866
31/12/2024,5881.63,-25.31,-0.428479043,5919.74,12.8,0.216694261,5929.74,22.8,0.385986653,5868.86,-38.08,-0.644665427
30/12/2024,5906.94,-63.9,-1.070201178,5920.67,-50.17,-0.840250283,5940.79,-30.05,-0.503279271,5869.16,-101.68,-1.702942969
27/12/2024,5970.84,-66.75,-1.105573582,6006.17,-31.42,-0.520406321,6006.17,-31.42,-0.520406321,5932.95,-104.64,-1.733141866
26/12/2024,6037.59,-2.45,-0.040562645,6024.97,-15.07,-0.249501659,6049.75,9.71,0.160760525,6007.37,-32.67,-0.540890458
24/12/2024,6040.04,65.97,1.104272297,5984.63,10.56,0.176763915,6040.1,66.03,1.105276637,5981.44,7.37,0.123366482
23/12/2024,5974.07,43.22,0.728731969,5940.25,9.4,0.158493302,5978.25,47.4,0.799210906,5902.57,-28.28,-0.476828785
20/12/2024,5930.85,63.77,1.086912058,5842,-25.08,-0.427469883,5982.06,114.98,1.95974829,5832.3,-34.78,-0.592799144
19/12/2024,5867.08,-5.08,-0.086509904,5912.71,40.55,0.690546579,5935.52,63.36,1.078989673,5866.07,-6.09,-0.103709708
18/12/2024,5872.16,-178.45,-2.94928941,6047.65,-2.96,-0.048920687,6070.67,20.06,0.33153682,5867.79,-182.82,-3.021513533
17/12/2024,6050.61,-23.47,-0.386395964,6052.55,-21.53,-0.354456971,6057.68,-16.4,-0.269999737,6035.19,-38.89,-0.64026157
16/12/2024,6074.08,22.99,0.37993155,6063.79,12.7,0.209879542,6085.19,34.1,0.563534834,6059.14,8.05,0.133033883
13/12/2024,6051.09,-0.16,-0.002644082,6068.17,16.92,0.27961165,6078.58,27.33,0.451642223,6035.77,-15.48,-0.255814914
12/12/2024,6051.25,-32.94,-0.541403211,6074.29,-9.9,-0.162716812,6079.68,-4.51,-0.074126548,6051.25,-32.94,-0.541403211
11/12/2024,6084.19,49.28,0.816582186,6060.15,25.24,0.418233246,6092.59,57.68,0.955772331,6060.15,25.24,0.418233246
10/12/2024,6034.91,-17.94,-0.296389304,6057.59,4.74,0.078310218,6065.4,12.55,0.207340344,6029.89,-22.96,-0.379325442
09/12/2024,6052.85,-37.42,-0.614422677,6083.01,-7.26,-0.119206538,6088.51,-1.76,-0.028898555,6048.63,-41.64,-0.68371353
06/12/2024,6090.27,15.16,0.249542807,6081.38,6.27,0.103208008,6099.97,24.86,0.409210697,6079.98,4.87,0.080163158
05/12/2024,6075.11,-11.38,-0.186971473,6089.03,2.54,0.04173177,6094.55,8.06,0.132424435,6072.9,-13.59,-0.223281399
04/12/2024,6086.49,36.61,0.60513597,6069.39,19.51,0.322485735,6089.84,39.96,0.660508969,6061.06,11.18,0.184797054
03/12/2024,6049.88,2.73,0.045145234,6042.97,-4.18,-0.069123471,6052.07,4.92,0.081360641,6033.39,-13.76,-0.227545207
02/12/2024,6047.15,14.77,0.244845318,6040.11,7.73,0.128141795,6053.58,21.2,0.351436746,6035.33,2.95,0.048902755
29/11/2024,6032.38,33.64,0.560784431,6003.98,5.24,0.087351677,6044.17,45.43,0.757325705,6003.98,5.24,0.087351677
27/11/2024,5998.74,-22.89,-0.380129633,6014.11,-7.52,-0.12488313,6020.16,-1.47,-0.024411995,5984.87,-36.76,-0.610465937
26/11/2024,6021.63,34.26,0.57220449,6000.03,12.66,0.211445092,6025.42,38.05,0.635504403,5992.27,4.9,0.081838938
25/11/2024,5987.37,18.03,0.302043442,5992.28,22.94,0.384297091,6020.75,51.41,0.86123424,5963.91,-5.43,-0.09096483
22/11/2024,5969.34,20.63,0.346797877,5944.36,-4.35,-0.073125098,5972.9,24.19,0.406642785,5944.36,-4.35,-0.073125098
21/11/2024,5948.71,31.6,0.534044491,5940.58,23.47,0.396646336,5963.32,46.21,0.780955568,5887.26,-29.85,-0.504469243
20/11/2024,5917.11,0.13,0.002197067,5914.34,-2.64,-0.044617355,5920.67,3.69,0.062362895,5860.56,-56.42,-0.953526968
19/11/2024,5916.98,23.36,0.396360811,5870.05,-23.57,-0.399923986,5923.51,29.89,0.507158588,5855.29,-38.33,-0.650364292
18/11/2024,5893.62,23,0.391781447,5874.17,3.55,0.060470615,5908.12,37.5,0.638774099,5865.95,-4.67,-0.079548668
15/11/2024,5870.62,-78.55,-1.320352251,5912.79,-36.38,-0.611513875,5915.32,-33.85,-0.568986934,5853.01,-96.16,-1.616359929
14/11/2024,5949.17,-36.21,-0.60497412,5989.68,4.3,0.071841721,5993.88,8.5,0.142012704,5942.28,-43.1,-0.720087948
13/11/2024,5985.38,1.39,0.023228648,5985.75,1.76,0.029411814,6008.19,24.2,0.404412441,5965.91,-18.08,-0.302139542
12/11/2024,5983.99,-17.36,-0.289268248,6003.6,2.25,0.037491564,6009.92,8.57,0.142801203,5960.08,-41.27,-0.687678606
11/11/2024,6001.35,5.81,0.096905366,6008.86,13.32,0.222165143,6017.31,21.77,0.36310324,5986.69,-8.85,-0.147609723
08/11/2024,5995.54,22.44,0.375684318,5976.76,3.66,0.061274715,6012.45,39.35,0.658786895,5976.76,3.66,0.061274715
07/11/2024,5973.1,44.06,0.743121989,5947.21,18.17,0.306457706,5983.84,54.8,0.924264299,5947.21,18.17,0.306457706
06/11/2024,5929.04,146.28,2.529587948,5864.89,82.13,1.420256071,5936.14,153.38,2.65236669,5864.89,82.13,1.420256071
05/11/2024,5782.76,70.07,1.226567519,5722.43,9.74,0.170497611,5783.44,70.75,1.238470843,5722.1,9.41,0.164720998
04/11/2024,5712.69,-16.11,-0.281210725,5725.15,-3.65,-0.063713169,5741.43,12.63,0.220465019,5696.51,-32.29,-0.563643346
01/11/2024,5728.8,23.35,0.409257815,5723.22,17.77,0.31145659,5772.52,67.07,1.175542683,5723.22,17.77,0.31145659
31/10/2024,5705.45,-108.22,-1.861474766,5775.34,-38.33,-0.659308148,5775.34,-38.33,-0.659308148,5702.86,-110.81,-1.906024938
30/10/2024,5813.67,-19.25,-0.330023385,5832.65,-0.27,-0.004628899,5850.94,18.02,0.308936176,5811.28,-21.64,-0.370997716
29/10/2024,5832.92,9.4,0.161414402,5819.68,-3.84,-0.065939501,5847.19,23.67,0.406455202,5802.17,-21.35,-0.366616754
28/10/2024,5823.52,15.4,0.265146037,5833.93,25.81,0.444377871,5842.92,34.8,0.599161174,5823.08,14.96,0.257570436
25/10/2024,5808.12,-1.74,-0.029949087,5826.75,16.89,0.290712685,5862.82,52.96,0.911553807,5799.98,-9.88,-0.170055733
24/10/2024,5809.86,12.44,0.214578209,5817.8,20.38,0.351535683,5817.8,20.38,0.351535683,5784.92,-12.5,-0.215613152
23/10/2024,5797.42,-53.78,-0.9191277,5834.5,-16.7,-0.28541154,5834.85,-16.35,-0.279429861,5762.41,-88.79,-1.517466503
22/10/2024,5851.2,-2.78,-0.047489059,5832.7,-21.28,-0.36351337,5863.04,9.06,0.154766501,5821.17,-32.81,-0.560473387
21/10/2024,5853.98,-10.69,-0.182277946,5857.82,-6.85,-0.116801116,5866.92,2.25,0.03836533,5824.79,-39.88,-0.680004161
18/10/2024,5864.67,23.2,0.397160304,5859.43,17.96,0.307456856,5872.17,30.7,0.525552643,5846.11,4.64,0.079432061
17/10/2024,5841.47,-1,-0.017116049,5875.62,33.15,0.567397008,5878.46,35.99,0.616006586,5840.25,-2.22,-0.037997628
16/10/2024,5842.47,27.21,0.467906852,5816.58,1.32,0.022698899,5846.52,31.26,0.537551201,5808.34,-6.92,-0.118997259
15/10/2024,5815.26,-44.59,-0.76094098,5866.74,6.89,0.117579802,5870.36,10.51,0.179356127,5804.48,-55.37,-0.944904733
14/10/2024,5859.85,44.82,0.770761286,5829.81,14.78,0.254168938,5871.41,56.38,0.969556477,5829.57,14.54,0.250041702
11/10/2024,5815.03,34.98,0.605185076,5775.09,-4.96,-0.085812406,5822.13,42.08,0.728021384,5775.09,-4.96,-0.085812406
10/10/2024,5780.05,-11.99,-0.207008239,5778.36,-13.68,-0.236186214,5795.03,2.99,0.051622572,5764.76,-27.28,-0.470991222
09/10/2024,5792.04,40.91,0.711338467,5751.8,0.67,0.011649884,5796.8,45.67,0.794104811,5745.02,-6.11,-0.106239991
08/10/2024,5751.13,55.19,0.968935768,5719.14,23.2,0.407307661,5757.6,61.66,1.082525448,5714.56,18.62,0.326899511
07/10/2024,5695.94,-55.13,-0.958604225,5737.8,-13.27,-0.230739671,5739.34,-11.73,-0.203962045,5686.85,-64.22,-1.116661769
04/10/2024,5751.07,51.13,0.897026986,5737.48,37.54,0.658603424,5753.21,53.27,0.934571241,5702.83,2.89,0.050702288
03/10/2024,5699.94,-9.6,-0.16813964,5698.19,-11.35,-0.198790095,5718.78,9.24,0.161834403,5677.37,-32.17,-0.563442939
02/10/2024,5709.54,0.79,0.013838406,5698.14,-10.61,-0.185855047,5719.63,10.88,0.190584629,5674,-34.75,-0.608714692
01/10/2024,5708.75,-53.73,-0.932411045,5757.73,-4.75,-0.082429787,5757.73,-4.75,-0.082429787,5681.28,-81.2,-1.40911552
30/09/2024,5762.48,24.31,0.423654231,5726.52,-11.65,-0.2030264,5765.14,26.97,0.470010474,5703.53,-34.64,-0.603676782
27/09/2024,5738.17,-7.2,-0.1253183,5755.36,9.99,0.173879141,5763.78,18.41,0.32043193,5727.34,-18.03,-0.313817909
26/09/2024,5745.37,23.11,0.403861411,5762.22,39.96,0.698325487,5767.37,45.11,0.788324893,5721.01,-1.25,-0.021844516
25/09/2024,5722.26,-10.67,-0.186117744,5733.65,0.72,0.012559023,5741.03,8.1,0.141289009,5712.06,-20.87,-0.364037238
24/09/2024,5732.93,14.36,0.251111729,5727.66,9.09,0.158955823,5735.32,16.75,0.292905394,5698.99,-19.58,-0.342393291
23/09/2024,5718.57,16.02,0.280926954,5711.9,9.35,0.163961736,5725.36,22.81,0.399996493,5704.22,1.67,0.029285144
20/09/2024,5702.55,-11.09,-0.194096933,5709.64,-4,-0.070007911,5715.14,1.5,0.026252967,5674.49,-39.15,-0.685202428
19/09/2024,5713.64,95.38,1.697678641,5702.63,84.37,1.501710494,5733.57,115.31,2.052414805,5686.42,68.16,1.213187001
18/09/2024,5618.26,-16.32,-0.289640044,5641.68,7.1,0.126007617,5689.75,55.17,0.979132429,5615.08,-19.5,-0.346077259
17/09/2024,5634.58,1.49,0.026450847,5655.51,22.42,0.398005358,5670.81,37.72,0.669614723,5614.05,-19.04,-0.338002766
16/09/2024,5633.09,7.07,0.125666101,5615.21,-10.81,-0.192142936,5636.05,10.03,0.178278783,5604.53,-21.49,-0.38197518
