Date,PX_LAST,PX_VOLUME
01/07/2024,5475.09,646243569
28/06/2024,5460.48,1646592214
27/06/2024,5482.87,706742162
26/06/2024,5477.9,716649179
25/06/2024,5469.3,787056702
24/06/2024,5447.87,799136296
21/06/2024,5464.62,2675987960
20/06/2024,5473.17,860912027
18/06/2024,5487.03,734928431
17/06/2024,5473.23,688383951
14/06/2024,5431.6,606994927
13/06/2024,5433.74,671145248
12/06/2024,5421.03,734659391
11/06/2024,5375.32,653634346
10/06/2024,5360.79,691543731
07/06/2024,5346.99,540912878
06/06/2024,5352.96,580519835
05/06/2024,5354.03,627194046
04/06/2024,5291.34,622296533
03/06/2024,5283.4,650014913
31/05/2024,5277.51,1677911714
30/05/2024,5235.48,633456556
29/05/2024,5266.95,648849760
28/05/2024,5306.04,632325203
24/05/2024,5304.72,518297234
23/05/2024,5267.84,642324642
22/05/2024,5307.01,607871288
21/05/2024,5321.41,560156939
20/05/2024,5308.13,511836196
17/05/2024,5303.27,633106828
16/05/2024,5297.1,657478316
15/05/2024,5308.15,676790031
14/05/2024,5246.68,591140913
13/05/2024,5221.42,567632226
10/05/2024,5222.68,552478490
09/05/2024,5214.08,569494678
08/05/2024,5187.67,623149630
07/05/2024,5187.7,649506675
06/05/2024,5180.74,631250257
03/05/2024,5127.79,701689993
02/05/2024,5064.2,739935801
01/05/2024,5018.39,809021347
30/04/2024,5035.69,910318928
29/04/2024,5116.17,663462702
26/04/2024,5099.96,686360905
25/04/2024,5048.42,773674502
24/04/2024,5071.63,720425246
23/04/2024,5070.55,652109640
22/04/2024,5010.6,661810027
19/04/2024,4967.23,865016383
18/04/2024,5011.12,610415260
17/04/2024,5022.21,625572020
16/04/2024,5051.41,629798982
15/04/2024,5061.82,685496598
12/04/2024,5123.41,664864391
11/04/2024,5199.06,642480433
10/04/2024,5160.64,645445357
09/04/2024,5209.91,567518803
08/04/2024,5202.39,559026792
05/04/2024,5204.34,613619466
04/04/2024,5147.21,717795894
03/04/2024,5211.49,658241573
02/04/2024,5205.81,731371246
01/04/2024,5243.77,561031961
28/03/2024,5254.35,787104098
27/03/2024,5248.49,648229648
26/03/2024,5203.58,670805580
25/03/2024,5218.19,603327469
22/03/2024,5234.18,588747926
21/03/2024,5241.53,718142030
20/03/2024,5224.62,658696240
19/03/2024,5178.51,742925252
18/03/2024,5149.42,784047674
15/03/2024,5117.09,2699996659
14/03/2024,5150.48,830838311
13/03/2024,5165.31,762052392
12/03/2024,5175.27,638546850
11/03/2024,5117.94,603068481
08/03/2024,5123.69,678455576
07/03/2024,5157.36,659799460
06/03/2024,5104.76,700289090
05/03/2024,5078.65,743286484
04/03/2024,5130.95,751185450
01/03/2024,5137.08,687218784
29/02/2024,5096.27,1285581876
28/02/2024,5069.76,564440544
27/02/2024,5078.18,574728854
26/02/2024,5069.53,623644768
23/02/2024,5088.8,633418439
22/02/2024,5087.03,728724112
21/02/2024,4981.8,618518026
20/02/2024,4975.51,696451427
16/02/2024,5005.57,683361708
15/02/2024,5029.73,668366860
14/02/2024,5000.62,644907004
13/02/2024,4953.17,689444106
12/02/2024,5021.84,600435425
09/02/2024,5026.61,633865687
08/02/2024,4997.91,641191844
07/02/2024,4995.06,693459419
06/02/2024,4954.23,636054578
05/02/2024,4942.81,699814958
02/02/2024,4958.61,742829415
01/02/2024,4906.19,720837864
31/01/2024,4845.65,1075732775
30/01/2024,4924.97,648024028
29/01/2024,4927.93,629745728
26/01/2024,4890.97,623980996
25/01/2024,4894.16,749967986
24/01/2024,4868.55,682971998
23/01/2024,4864.6,596555898
22/01/2024,4850.43,701376031
19/01/2024,4839.81,840591395
18/01/2024,4780.94,690191784
17/01/2024,4739.21,600707347
16/01/2024,4765.98,709069725
12/01/2024,4783.83,588398855
11/01/2024,4780.24,639362905
10/01/2024,4783.45,594304429
09/01/2024,4756.5,627224821
08/01/2024,4763.54,699080100
05/01/2024,4697.24,650594292
04/01/2024,4688.68,693014905
03/01/2024,4704.81,696024599
02/01/2024,4742.83,707023582
29/12/2023,4769.83,551130242
28/12/2023,4783.35,412883803
27/12/2023,4781.58,477164240
26/12/2023,4774.75,383600823
22/12/2023,4754.63,478035162
21/12/2023,4746.75,598987758
20/12/2023,4698.35,740948509
19/12/2023,4768.37,683293471
18/12/2023,4740.56,704963485
15/12/2023,4719.19,2527894869
14/12/2023,4719.55,1051807579
13/12/2023,4707.09,822110084
12/12/2023,4643.7,641078562
11/12/2023,4622.44,710937555
08/12/2023,4604.37,650108320
07/12/2023,4585.59,654683633
06/12/2023,4549.34,642728555
05/12/2023,4567.18,636082851
04/12/2023,4569.78,709338112
01/12/2023,4594.63,685637998
30/11/2023,4567.8,1436340554
29/11/2023,4550.58,614760148
28/11/2023,4554.89,581626011
27/11/2023,4550.43,571787308
24/11/2023,4559.34,245075445
22/11/2023,4556.62,494987908
21/11/2023,4538.19,535650418
20/11/2023,4547.38,616318672
17/11/2023,4514.02,698733690
16/11/2023,4508.24,663470192
15/11/2023,4502.88,698146847
14/11/2023,4495.7,726733609
13/11/2023,4411.55,521106319
10/11/2023,4415.24,633584199
09/11/2023,4347.35,643214618
08/11/2023,4382.78,630146615
07/11/2023,4378.38,627378808
06/11/2023,4365.98,600478338
03/11/2023,4358.34,710334973
02/11/2023,4317.78,768438594
01/11/2023,4237.86,776970113
31/10/2023,4193.8,790575673
30/10/2023,4166.82,657366692
27/10/2023,4117.37,731596656
26/10/2023,4137.23,799202538
25/10/2023,4186.77,722041201
24/10/2023,4247.68,636529260
23/10/2023,4217.04,622435533
20/10/2023,4224.16,847181188
19/10/2023,4278,705716397
18/10/2023,4314.6,630081238
17/10/2023,4373.2,643476734
16/10/2023,4373.63,591931232
13/10/2023,4327.78,624884644
12/10/2023,4349.61,581024773
11/10/2023,4376.95,554107193
10/10/2023,4358.24,578743808
09/10/2023,4335.66,530516560
06/10/2023,4308.5,675111697
05/10/2023,4258.19,605446319
04/10/2023,4263.75,649534921
03/10/2023,4229.45,642000786
02/10/2023,4288.39,674248995
29/09/2023,4288.05,735329865
28/09/2023,4299.7,570971503
27/09/2023,4274.51,637206430
26/09/2023,4273.53,602083635
25/09/2023,4337.44,520059065
22/09/2023,4320.06,602039804
21/09/2023,4330,645164604
20/09/2023,4402.2,531151580
19/09/2023,4443.95,591330208
18/09/2023,4453.53,582356780
15/09/2023,4450.32,2086475999
14/09/2023,4505.1,666666607
13/09/2023,4467.44,638498808
12/09/2023,4461.9,571954166
11/09/2023,4487.46,564160899
08/09/2023,4457.49,543178717
07/09/2023,4451.14,691581859
06/09/2023,4465.48,569433044
05/09/2023,4496.83,590187052
01/09/2023,4515.77,557768153
31/08/2023,4507.66,800795474
30/08/2023,4514.87,479843016
29/08/2023,4497.63,543608235
28/08/2023,4433.31,448890099
25/08/2023,4405.71,560987947
24/08/2023,4376.31,628240291
23/08/2023,4436.01,571757345
22/08/2023,4387.55,496156892
21/08/2023,4399.77,540351438
18/08/2023,4369.71,652214396
