Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
10/03/2025,32.74,2.63,8.734639655,34.22,4.11,13.64995018,35.99,5.88,19.52839588,30.42,0.31,1.029558286
07/03/2025,30.11,-1.41,-4.473350254,32.31,0.79,2.506345178,35.38,3.86,12.24619289,29.03,-2.49,-7.899746193
06/03/2025,31.52,4.3,15.79720794,29.84,2.62,9.625275533,33.67,6.45,23.6958119,28.29,1.07,3.930933137
05/03/2025,27.22,0.86,3.262518968,28.14,1.78,6.752655539,30.43,4.07,15.4400607,25.52,-0.84,-3.186646434
04/03/2025,26.36,0.76,2.96875,27.44,1.84,7.1875,30.84,5.24,20.46875,23.99,-1.61,-6.2890625
03/03/2025,25.6,4.87,23.49252291,20.27,-0.46,-2.219006271,28.26,7.53,36.32416787,19.59,-1.14,-5.499276411
28/02/2025,20.73,-2.85,-12.08651399,23.34,-0.24,-1.017811705,26.3,2.72,11.53519932,19.15,-4.43,-18.78710772
27/02/2025,23.58,6.78,40.35714286,18.09,1.29,7.678571429,24.34,7.54,44.88095238,17.97,1.17,6.964285714
26/02/2025,16.8,1.66,10.96433289,15.53,0.39,2.575957728,18.14,3,19.81505945,13.95,-1.19,-7.85997358
25/02/2025,15.14,0.2,1.338688086,15.79,0.85,5.689424364,19.53,4.59,30.72289157,14.73,-0.21,-1.40562249
24/02/2025,14.94,1.23,8.971553611,13.79,0.08,0.583515682,17.13,3.42,24.9452954,12.97,-0.74,-5.397520058
21/02/2025,13.71,4.42,47.5780409,9.14,-0.15,-1.614639397,14.46,5.17,55.65123789,9.04,-0.25,-2.691065662
20/02/2025,9.29,0.51,5.808656036,8.86,0.08,0.911161731,11.09,2.31,26.30979499,8.63,-0.15,-1.708428246
19/02/2025,8.78,0.25,2.930832356,9.52,0.99,11.60609613,9.71,1.18,13.83352872,8.18,-0.35,-4.103165299
18/02/2025,8.53,0.83,10.77922078,9.3,1.6,20.77922078,9.79,2.09,27.14285714,8.53,0.83,10.77922078
14/02/2025,7.7,-0.66,-7.894736842,8.15,-0.21,-2.511961722,8.66,0.3,3.588516746,7.24,-1.12,-13.39712919
13/02/2025,8.36,-3.09,-26.98689956,11.05,-0.4,-3.493449782,11.76,0.31,2.707423581,8.24,-3.21,-28.0349345
12/02/2025,11.45,0.53,4.853479853,12.98,2.06,18.86446886,13.51,2.59,23.71794872,11.23,0.31,2.838827839
11/02/2025,10.92,0.15,1.39275766,11.39,0.62,5.756731662,11.79,1.02,9.470752089,10.55,-0.22,-2.042711235
10/02/2025,10.77,-0.37,-3.321364452,10.79,-0.35,-3.141831239,12.02,0.88,7.8994614,10.56,-0.58,-5.206463196
07/02/2025,11.14,1.62,17.01680672,8.81,-0.71,-7.457983193,17.23,7.71,80.98739496,8.73,-0.79,-8.298319328
06/02/2025,9.52,0.18,1.927194861,9.05,-0.29,-3.104925054,10.66,1.32,14.13276231,8.87,-0.47,-5.032119914
05/02/2025,9.34,-1.83,-16.3831692,11.11,-0.06,-0.537153089,12.81,1.64,14.68218442,9.34,-1.83,-16.3831692
